Team,GP,W,L,W/L%,G,GA,DIFF,CQF GP,CQF W-L%,CSF GP,CSF W-L%,CF GP,CF W-L%,F GP,F W-L%
Golden State Warriors,43.0,36.0,7.0,0.8372093023255814,4910.0,4680.0,230.0,4,1.0,4,1.0,4,1.0,5,0.8
Cleveland Cavaliers,45.0,25.0,20.0,0.5555555555555556,5016.0,4873.0,143.0,4,1.0,4,1.0,5,0.8,5,0.2
Boston Celtics,43.0,25.0,18.0,0.5813953488372093,4573.0,4625.0,-52.0,6,0.6666666666666666,7,0.5714285714285714,5,0.2,0,0.0
San Antonio Spurs,42.0,26.0,16.0,0.6190476190476191,4374.0,4358.0,16.0,6,0.6666666666666666,6,0.6666666666666666,4,0.0,0,0.0
Washington Wizards,40.0,22.0,18.0,0.55,4414.0,4414.0,0.0,6,0.6666666666666666,7,0.42857142857142855,0,0.0,0,0.0
Houston Rockets,35.0,21.0,14.0,0.6,4005.0,3992.0,13.0,5,0.8,6,0.3333333333333333,0,0.0,0,0.0
Utah Jazz,36.0,20.0,16.0,0.5555555555555556,3621.0,3673.0,-52.0,7,0.5714285714285714,4,0.0,0,0.0,0,0.0
Toronto Raptors,35.0,22.0,13.0,0.6285714285714286,3546.0,3603.0,-57.0,6,0.6666666666666666,4,0.0,0,0.0,0,0.0
Los Angeles Clippers,,,,,,,,7,0.42857142857142855,0,0.0,0,0.0,0,0.0
Milwaukee Bucks,33.0,19.0,14.0,0.5757575757575758,3244.0,3248.0,-4.0,6,0.3333333333333333,0,0.0,0,0.0,0,0.0
Memphis Grizzlies,30.0,11.0,19.0,0.36666666666666664,2969.0,3019.0,-50.0,6,0.3333333333333333,0,0.0,0,0.0,0,0.0
Chicago Bulls,31.0,15.0,16.0,0.4838709677419355,3192.0,3233.0,-41.0,6,0.3333333333333333,0,0.0,0,0.0,0,0.0
Atlanta Hawks,32.0,13.0,19.0,0.40625,3280.0,3287.0,-7.0,6,0.3333333333333333,0,0.0,0,0.0,0,0.0
Oklahoma City Thunder,30.0,16.0,14.0,0.5333333333333333,3224.0,3267.0,-43.0,5,0.2,0,0.0,0,0.0,0,0.0
Portland Trail Blazers,30.0,18.0,12.0,0.6,3249.0,3321.0,-72.0,4,0.0,0,0.0,0,0.0,0,0.0
Indiana Pacers,29.0,13.0,16.0,0.4482758620689655,3040.0,3056.0,-16.0,4,0.0,0,0.0,0,0.0,0,0.0
